"DbItemId","Name","Category","CreatureId"
"1180317","Draconic Warhorn: Chromatic Whelp","Draconic Warhorn","148069"
"1180526","Draconic Warhorn: Infinite Whelp","Draconic Warhorn","21818"
"1180599","Draconic Warhorn: Smolderwing","Draconic Warhorn","23789"
"84106","Summoner's Stone: Ekkorash the Inquisitor","Summoner's Stone","19493"
"80088","Beastmaster's Whistle: Spire Spiderling","Beastmaster's Whistle","10375"
"85209","Summoner's Stone: Galvanoth","Summoner's Stone","22281"
"85246","Summoner's Stone: Matron Li-sahar","Summoner's Stone","22825"
"85247","Summoner's Stone: Gorgolon the All-seeing","Summoner's Stone","22827"
"85257","Summoner's Stone: Trelopades","Summoner's Stone","22828"
"480382","Beastmaster's Whistle: Captain Claws","Beastmaster's Whistle","417217"
"601009","Elemental Lodestone: Surging Water Elemental","Elemental Lodestone","37703"
"601067","Elemental Lodestone: Swamp Spirit","Elemental Lodestone","6932"
"601102","Elemental Lodestone: Plague Shambler","Elemental Lodestone","97808"
"82368","Summoner's Stone: Aligar the Tormentor","Summoner's Stone","3898"
"82370","Summoner's Stone: Caedakar the Vicious","Summoner's Stone","3900"
"601664","Elemental Lodestone: Bloodpetal Thirster","Elemental Lodestone","97825"
"601677","Elemental Lodestone: Stone Warden","Elemental Lodestone","6561"
"84496","Summoner's Stone: Wrathbringer Laz-tarash","Summoner's Stone","20789"
"85586","Summoner's Stone: Braxxus","Summoner's Stone","23353"
"84301","Summoner's Stone: Doomcryer","Summoner's Stone","19963"
"603976","Elemental Lodestone: Silver Golem","Draconic Warhorn","76"
"85637","Summoner's Stone: Zarcsin","Summoner's Stone","23355"
"82734","Summoner's Stone: Razelikh the Defiler","Summoner's Stone","7664"
"82983","Summoner's Stone: Xorothian Dreadsteed","Summoner's Stone","14502"
"82777","Summoner's Stone: Xabraxxis","Summoner's Stone","10373"
"1180288","Draconic Warhorn: Sleeping Dragon","Draconic Warhorn","9417"
"82780","Summoner's Stone: Balnazzar","Summoner's Stone","10813"
"1180320","Draconic Warhorn: Chromatic Dragonspawn","Draconic Warhorn","148070"
"82875","Summoner's Stone: Demon Spirit","Summoner's Stone","11876"
