"DbItemId","Name","Description","Category"
"79317","Beastmaster's Whistle: Forest Spider","","Beastmaster's Whistle"
"79337","Beastmaster's Whistle: Timber Wolf","","Beastmaster's Whistle"
"79345","Beastmaster's Whistle: Stonetusk Boar","","Beastmaster's Whistle"
"79348","Beastmaster's Whistle: Greater Fleshripper","","Beastmaster's Whistle"
"79373","Beastmaster's Whistle: Young Stranglethorn Tiger","","Beastmaster's Whistle"
"79377","Beastmaster's Whistle: Stranglethorn Raptor","","Beastmaster's Whistle"
"79392","Beastmaster's Whistle: Young Forest Bear","","Beastmaster's Whistle"
"79393","Beastmaster's Whistle: Sand Crawler","","Beastmaster's Whistle"
"79418","Beastmaster's Whistle: Sawtooth Crocolisk","","Beastmaster's Whistle"
"79423","Beastmaster's Whistle: Mistvale Gorilla","","Beastmaster's Whistle"
"79465","Beastmaster's Whistle: Duskbat","","Beastmaster's Whistle"
"79497","Beastmaster's Whistle: Strigid Owl","","Beastmaster's Whistle"
"79519","Beastmaster's Whistle: Strider Clutchmother","","Beastmaster's Whistle"
"79542","Beastmaster's Whistle: Snapjaw","","Beastmaster's Whistle"
"79601","Beastmaster's Whistle: Scorpid Worker","","Beastmaster's Whistle"
"79615","Beastmaster's Whistle: Thunderhawk Hatchling","","Beastmaster's Whistle"
"79630","Beastmaster's Whistle: Sewer Beast","","Beastmaster's Whistle"
"79657","Beastmaster's Whistle: Fledgling Chimaera","","Beastmaster's Whistle"
"79666","Beastmaster's Whistle: Hecklefang Hyena","","Beastmaster's Whistle"
"79669","Beastmaster's Whistle: Silithid Ravager","","Beastmaster's Whistle"
"79689","Beastmaster's Whistle: Bloodfen Raptor","","Beastmaster's Whistle"
"79751","Beastmaster's Whistle: Deviate Adder","","Beastmaster's Whistle"
"79757","Beastmaster's Whistle: Murk Worm","","Beastmaster's Whistle"
"79892","Beastmaster's Whistle: Devilsaur","","Beastmaster's Whistle"
"79893","Beastmaster's Whistle: Ironhide Devilsaur","","Beastmaster's Whistle"
"80034","Beastmaster's Whistle: Chillwind Ravager","","Beastmaster's Whistle"
"80063","Beastmaster's Whistle: Felpaw Wolf","","Beastmaster's Whistle"
"80088","Beastmaster's Whistle: Spire Spiderling","","Beastmaster's Whistle"
"80096","Beastmaster's Whistle: Soulflayer","","Beastmaster's Whistle"
"80098","Beastmaster's Whistle: Zulian Tiger","","Beastmaster's Whistle"
"80099","Beastmaster's Whistle: Zulian Panther","","Beastmaster's Whistle"
"80106","Beastmaster's Whistle: Ancient Core Hound","","Beastmaster's Whistle"
"80297","Beastmaster's Whistle: Feral Dragonhawk Hatchling","","Beastmaster's Whistle"
"80343","Beastmaster's Whistle: Vale Moth","","Beastmaster's Whistle"
"80353","Beastmaster's Whistle: Goretooth","","Beastmaster's Whistle"
"80354","Beastmaster's Whistle: Ravager Specimen","","Beastmaster's Whistle"
"80474","Beastmaster's Whistle: The Kurken","","Beastmaster's Whistle"
"80525","Beastmaster's Whistle: Bloodfalcon","","Beastmaster's Whistle"
"80607","Beastmaster's Whistle: Cobalt Serpent","","Beastmaster's Whistle"
"80649","Beastmaster's Whistle: Blackwind Sabercat","","Beastmaster's Whistle"
"82368","Summoner's Stone: Aligar the Tormentor","","Summoner's Stone"
"82370","Summoner's Stone: Caedakar the Vicious","","Summoner's Stone"
"82734","Summoner's Stone: Razelikh the Defiler","","Summoner's Stone"
"82777","Summoner's Stone: Xabraxxis","","Summoner's Stone"
"82780","Summoner's Stone: Balnazzar","","Summoner's Stone"
"82875","Summoner's Stone: Demon Spirit","","Summoner's Stone"
"82983","Summoner's Stone: Xorothian Dreadsteed","","Summoner's Stone"
"84106","Summoner's Stone: Ekkorash the Inquisitor","","Summoner's Stone"
"84301","Summoner's Stone: Doomcryer","","Summoner's Stone"
"84496","Summoner's Stone: Wrathbringer Laz-tarash","","Summoner's Stone"
"85155","Summoner's Stone: Illidari Satyr","","Summoner's Stone"
"85209","Summoner's Stone: Galvanoth","","Summoner's Stone"
"85246","Summoner's Stone: Matron Li-sahar","","Summoner's Stone"
"85247","Summoner's Stone: Gorgolon the All-seeing","","Summoner's Stone"
"85257","Summoner's Stone: Trelopades","","Summoner's Stone"
"85586","Summoner's Stone: Braxxus","","Summoner's Stone"
"85637","Summoner's Stone: Zarcsin","","Summoner's Stone"
"85718","Blood Soaked Vellum: Flesh Eater","","Blood Soaked Vellum"
"85719","Blood Soaked Vellum: Skeletal Warrior","","Blood Soaked Vellum"
"85723","Blood Soaked Vellum: Eliza","","Blood Soaked Vellum"
"86072","Blood Soaked Vellum: Bleeding Horror","","Blood Soaked Vellum"
"86078","Blood Soaked Vellum: Lost Soul","","Blood Soaked Vellum"
"86105","Blood Soaked Vellum: Devlin Agamand","","Blood Soaked Vellum"
"86488","Blood Soaked Vellum: Searing Ghoul","","Blood Soaked Vellum"
"480382","Beastmaster's Whistle: Captain Claws","","Beastmaster's Whistle"
"600867","Elemental Lodestone: Al'ar","","Elemental Lodestone"
"600878","Elemental Lodestone: Hydross the Unstable","","Elemental Lodestone"
"601009","Elemental Lodestone: Surging Water Elemental","","Elemental Lodestone"
"601023","Elemental Lodestone: Blazing Fireguard","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Fire","Elemental Lodestone"
"601067","Elemental Lodestone: Swamp Spirit","","Elemental Lodestone"
"601102","Elemental Lodestone: Plague Shambler","","Elemental Lodestone"
"601664","Elemental Lodestone: Bloodpetal Thirster","","Elemental Lodestone"
"601677","Elemental Lodestone: Stone Warden","","Elemental Lodestone"
"601832","Elemental Lodestone: Treant","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","Elemental Lodestone"
"601836","Elemental Lodestone: Treant","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","Elemental Lodestone"
"601843","Elemental Lodestone: Treant Ally","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","Elemental Lodestone"
"601849","Elemental Lodestone: Treant Protector","Has a chance to drop from Treant Protector within Kalimdor/Eastern Kingdom","Elemental Lodestone"
"603976","Elemental Lodestone: Silver Golem","","Draconic Warhorn"
"1180288","Draconic Warhorn: Sleeping Dragon","","Draconic Warhorn"
"1180317","Draconic Warhorn: Chromatic Whelp","","Draconic Warhorn"
"1180320","Draconic Warhorn: Chromatic Dragonspawn","","Draconic Warhorn"
"1180510","Draconic Warhorn: Blackscale","","Draconic Warhorn"
"1180511","Draconic Warhorn: Blackscale","","Draconic Warhorn"
"1180526","Draconic Warhorn: Infinite Whelp","","Draconic Warhorn"
"1180599","Draconic Warhorn: Smolderwing","","Draconic Warhorn"
"1180833","Draconic Warhorn: Tempus Wyrm","","Draconic Warhorn"
"1181572","Draconic Warhorn: Green Whelp","Has a chance to drop from Profession Master within ","Draconic Warhorn"
"1181574","Draconic Warhorn: Bronze Whelp","Has a chance to drop from Profession Master within ","Draconic Warhorn"
"1519393","Beastmaster's Whistle: Arktos","Has a chance to drop from The Frozen Reach Manastorm ","Beastmaster's Whistle"
"1777378","Elemental Lodestone: Living Cyclone","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Lightning","Elemental Lodestone"
"1777379","Elemental Lodestone: Mana Beast","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Arcane","Elemental Lodestone"
"1777380","Elemental Lodestone: Iceshard Elemental","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Ice","Elemental Lodestone"
"1777420","Elemental Lodestone: Desert Rumbler","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Earth","Elemental Lodestone"
