"DbItemId","Name","Description"
"79822","Beastmaster's Whistle: Deviate Venomwing","Has a chance to drop from Deviate Venomwing within Wailing Caverns"
"81904","Beastmaster's Whistle: Savage Worg","Has a chance to drop from Savage Worg within Utgarde Keep"
"81907","Beastmaster's Whistle: Shardtooth","Has a chance to drop from Shardtooth within Camp Tunka'lo"
"81908","Beastmaster's Whistle: Infesting Jormungar","Has a chance to drop from Infesting Jormungar within Gimorak's Den"
"79861","Beastmaster's Whistle: The Rake","Has a chance to drop from The Rake within The Golden Plains"
"81909","Beastmaster's Whistle: Cavedweller Worg","Has a chance to drop from Cavedweller Worg within Gimorak's Den"
"81911","Beastmaster's Whistle: Ravenous Jormungar","Has a chance to drop from Ravenous Jormungar within Hibernal Cavern"
"81932","Beastmaster's Whistle: Necrotic Webspinner","Has a chance to drop from Necrotic Webspinner within Corp'rethar: The Horror Gate"
"79887","Beastmaster's Whistle: Scorpok Stinger","Has a chance to drop from Scorpok Stinger within Nethergarde Keep"
"79890","Beastmaster's Whistle: Coralshell Lurker","Has a chance to drop from Coralshell Lurker within Tower of Eldara"
"1180109","Draconic Warhorn: Singe","Has a chance to drop from Singe within Stonewatch Keep"
"1180114","Draconic Warhorn: Adolescent Whelp","Has a chance to drop from Adolescent Whelp within Itharius's Cave"
"1180115","Draconic Warhorn: Dreaming Whelp","Has a chance to drop from Dreaming Whelp within Itharius's Cave"
"1180116","Draconic Warhorn: Dreaming Whelp","Has a chance to drop from Dreaming Whelp within Itharius's Cave"
"1180136","Draconic Warhorn: Red Dragonspawn","Has a chance to drop from Red Dragonspawn within Dragonmaw Gates"
"1180140","Draconic Warhorn: Red Scalebane","Has a chance to drop from Red Scalebane within Dragonmaw Gates"
"1180141","Draconic Warhorn: Red Scalebane","Has a chance to drop from Red Scalebane within Dragonmaw Gates"
"1180142","Draconic Warhorn: Scalebane Lieutenant","Has a chance to drop from Scalebane Lieutenant within Dragonmaw Gates"
"1180143","Draconic Warhorn: Scalebane Lieutenant","Has a chance to drop from Scalebane Lieutenant within Dragonmaw Gates"
"1180144","Draconic Warhorn: Wyrmkin Firebrand","Has a chance to drop from Wyrmkin Firebrand within Dragonmaw Gates"
"1180145","Draconic Warhorn: Wyrmkin Firebrand","Has a chance to drop from Wyrmkin Firebrand within Dragonmaw Gates"
"1180146","Draconic Warhorn: Scalebane Royal Guard","Has a chance to drop from Scalebane Royal Guard within Dragonmaw Gates"
"1180169","Draconic Warhorn: Narillasanz","Has a chance to drop from Narillasanz within Chillwind Point"
"1180193","Draconic Warhorn: Nal'taszar","Has a chance to drop from Nal'taszar within The Talon Den"
