"ItemId","ItemName","CreatureId","Description","Category","URL","FamilyId","FamilyName","Notes"
"79256","Beastmaster's Whistle: Felhound","79010","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","Beastmaster's Whistle","https://db.ascension.gg/?item=79256","","",""
"79258","Beastmaster's Whistle: White Felbat","79011","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","Beastmaster's Whistle","https://db.ascension.gg/?item=79258","","",""
"79260","Beastmaster's Whistle: Armored Soulhound","347310","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","Beastmaster's Whistle","https://db.ascension.gg/?item=79260","","",""
"79262","Beastmaster's Whistle: Felflame Talbuk","79013","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","Beastmaster's Whistle","https://db.ascension.gg/?item=79262","","",""
"79263","Beastmaster's Whistle: Skreeg","79014","Felforged Heroes can purchase this item from Azzazel for Legion Crests","Beastmaster's Whistle","https://db.ascension.gg/?item=79263","","",""
"80089","Beastmaster's Whistle: The Beast","10430","Has a chance to drop from The Beast within Blackrock Spire","Beastmaster's Whistle","https://db.ascension.gg/?item=80089","","",""
"80093","Beastmaster's Whistle: Enraged Panther","10992","Has a chance to drop from Enraged Panther within Thousand Needles","Beastmaster's Whistle","https://db.ascension.gg/?item=80093","","",""
"82368","Summoner's Stone: Aligar the Tormentor","3898","","Summoner's Stone","https://db.ascension.gg/?item=82368","","",""
"82370","Summoner's Stone: Caedakar the Vicious","3900","","Summoner's Stone","https://db.ascension.gg/?item=82370","","",""
"82734","Summoner's Stone: Razelikh the Defiler","7664","","Summoner's Stone","https://db.ascension.gg/?item=82734","","",""
"82777","Summoner's Stone: Xabraxxis","10373","","Summoner's Stone","https://db.ascension.gg/?item=82777","","",""
"82780","Summoner's Stone: Balnazzar","10813","","Summoner's Stone","https://db.ascension.gg/?item=82780","","",""
"82863","Summoner's Stone: Zevrim Thornhoof","11490","Has a chance to drop from Zevrim Thornhoof within Dire Maul","Summoner's Stone","https://db.ascension.gg/?item=82863","","",""
"82865","Summoner's Stone: Alzzin the Wildshaper","11492","Has a chance to drop from Alzzin the Wildshaper within Dire Maul","Summoner's Stone","https://db.ascension.gg/?item=82865","","",""
"82871","Summoner's Stone: Immol'thar","11496","Has a chance to drop from Immol'thar within Dire Maul","Summoner's Stone","https://db.ascension.gg/?item=82871","","",""
"82875","Summoner's Stone: Demon Spirit","11876","","Summoner's Stone","https://db.ascension.gg/?item=82875","","",""
"82983","Summoner's Stone: Xorothian Dreadsteed","14502","","Summoner's Stone","https://db.ascension.gg/?item=82983","","",""
"82996","Summoner's Stone: Solenor the Slayer","14530","Has a chance to drop from Solenor the Slayer within Silithus","Summoner's Stone","https://db.ascension.gg/?item=82996","","",""
