ItemId,ItemName,CreatureId,Description,Category,URL,FamilyId,FamilyName,Notes,,,,
83797,Summoner's Stone: Subjugator Yalqiz,19335,Has a chance to drop from Subjugator Yalqiz within The Legion Front,Summoner's Stone,https://db.ascension.gg/?item=83797,3,Shivarra,,,,,
97743,Elemental Lodestone: Afflicted Treemouth,139999,Available from Tiraxis' Ethereal Bazaar,Elemental Lodestone,https://db.ascension.gg/?item=97743,5,Dreadwood Treant,Pet - Dreadwood Treant - Skill - Ascension Database,,,,
138255,Summoner's Stone: Prince Malchezaar,15690,Has a chance to drop from Prince Malchezaa within Karazhan,Summoner's Stone,https://db.ascension.gg/?item=138255,,,,,,,
138259,"Summoner's Stone: Demos, Overseer of Hate",18535,"Has a chance to drop from Demos, Overseer of Hate within Forge Camp: Hate",Summoner's Stone,https://db.ascension.gg/?item=138259,,,,,,,
138288,Summoner's Stone: Arazzius the Cruel,19191,Has a chance to drop from Arazzius the Cruel within Pools of Aggonar,Summoner's Stone,https://db.ascension.gg/?item=138288,,,,,,,
138304,Summoner's Stone: Baelmon the Hound-Master,19747,Has a chance to drop from Baelmon the Hound-Master within Death's Door,Summoner's Stone,https://db.ascension.gg/?item=138304,,,,,,,
138443,Summoner's Stone: Levixus,19847,Has a chance to drop from Levixus within Auchindoun,Summoner's Stone,https://db.ascension.gg/?item=138443,,,,,,,
138465,Summoner's Stone: Socrethar,20132,Has a chance to drop from Socrethar within Socrethar's Seat,Summoner's Stone,https://db.ascension.gg/?item=138465,,,,,,,
138890,Summoner's Stone: Eredar Soul-Eater,20879,Has a chance to drop from Eredar Soul-Eater within The Arcatraz,Summoner's Stone,https://db.ascension.gg/?item=138890,,,,,,,
138984,Summoner's Stone: Eredar Deathbringer,20880,Has a chance to drop from Eredar Deathbringer within The Arcatraz,Summoner's Stone,https://db.ascension.gg/?item=138984,,,,,,,
139053,Summoner's Stone: Solus the Eternal,20888,Has a chance to drop from Solus the Eterna within Karazhan,Summoner's Stone,https://db.ascension.gg/?item=139053,,,,,,,
139354,Summoner's Stone: Warbringer Razuun,21287,Has a chance to drop from Warbringer Razuun within The Deathforge,Summoner's Stone,https://db.ascension.gg/?item=139354,,,,,,,
139359,Summoner's Stone: Deathbringer Jovaan,21633,Has a chance to drop from Deathbringer Jovaan within Karazhan,Summoner's Stone,https://db.ascension.gg/?item=139359,,,,,,,
139429,Summoner's Stone: Reth'hedron the Subduer,22357,Has a chance to drop from Reth'hedron the Subduer within The Twilight Ridge,Summoner's Stone,https://db.ascension.gg/?item=139429,,,,,,,
139454,Summoner's Stone: Illidari Lord Balthas,23427,Has a chance to drop from Illidari Lord Balthas within Dragonmaw Base Camp,Summoner's Stone,https://db.ascension.gg/?item=139454,,,,,,,
139517,Summoner's Stone: Eredar Sorcerer,25033,Has a chance to drop from Eredar Sorcerer within The Dead Scar,Summoner's Stone,https://db.ascension.gg/?item=139517,,,,,,,
139581,Summoner's Stone: Apolyon (Hand of the Deceiver),449185,Has a chance to drop from Kil'jaeden within Sunwell Plateau.,Summoner's Stone,https://db.ascension.gg/?item=139581,,,,,,,
139796,Summoner's Stone: Agamath (Hand of the Deceiver),449186,Has a chance to drop from Kil'jaeden within Sunwell Plateau.,Summoner's Stone,https://db.ascension.gg/?item=139796,,,,,,,
139797,Summoner's Stone: Archonisus (Hand of the Deceiver),449187,Has a chance to drop from Kil'jaeden within Sunwell Plateau.,Summoner's Stone,https://db.ascension.gg/?item=139797,,,,,,,
