"itemId","itemName","creatureId","category"
"79256","Beastmaster's Whistle: Felhound","79010","Beastmaster's Whistle"
"79258","Beastmaster's Whistle: White Felbat","79011","Beastmaster's Whistle"
"79260","Beastmaster's Whistle: Armored Soulhound","347310","Beastmaster's Whistle"
"79262","Beastmaster's Whistle: Felflame Talbuk","79013","Beastmaster's Whistle"
"79263","Beastmaster's Whistle: Skreeg","79014","Beastmaster's Whistle"
"80089","Beastmaster's Whistle: The Beast","10430","Beastmaster's Whistle"
"80093","Beastmaster's Whistle: Enraged Panther","10992","Beastmaster's Whistle"
"82368","Summoner's Stone: Aligar the Tormentor","3898","Summoner's Stone"
"82370","Summoner's Stone: Caedakar the Vicious","3900","Summoner's Stone"
"82734","Summoner's Stone: Razelikh the Defiler","7664","Summoner's Stone"
"82777","Summoner's Stone: Xabraxxis","10373","Summoner's Stone"
"82780","Summoner's Stone: Balnazzar","10813","Summoner's Stone"
"82863","Summoner's Stone: Zevrim Thornhoof","11490","Summoner's Stone"
"82865","Summoner's Stone: Alzzin the Wildshaper","11492","Summoner's Stone"
"82871","Summoner's Stone: Immol'thar","11496","Summoner's Stone"
"82875","Summoner's Stone: Demon Spirit","11876","Summoner's Stone"
"82983","Summoner's Stone: Xorothian Dreadsteed","14502","Summoner's Stone"
"82996","Summoner's Stone: Solenor the Slayer","14530","Summoner's Stone"
"83017","Summoner's Stone: Artorius the Doombringer","14535","Summoner's Stone"
"83033","Summoner's Stone: Twilight Corrupter","15625","Summoner's Stone"
"83067","Summoner's Stone: Mo'arg Forgefiend","91358","Summoner's Stone"
"84103","Summoner's Stone: Arzeth the Merciless","19354","Summoner's Stone"
"84106","Summoner's Stone: Ekkorash the Inquisitor","19493","Summoner's Stone"
"84301","Summoner's Stone: Doomcryer","19963","Summoner's Stone"
"84350","Summoner's Stone: Prophetess Cavrylin","20683","Summoner's Stone"
"85209","Summoner's Stone: Galvanoth","22281","Summoner's Stone"
"85246","Summoner's Stone: Matron Li-sahar","22825","Summoner's Stone"
"85247","Summoner's Stone: Gorgolon the All-seeing","22827","Summoner's Stone"
"85257","Summoner's Stone: Trelopades","22828","Summoner's Stone"
"85258","Summoner's Stone: Illidari Defiler","22853","Summoner's Stone"
"85259","Summoner's Stone: Illidari Nightlord","22855","Summoner's Stone"
"85260","Summoner's Stone: Illidari Boneslicer","22869","Summoner's Stone"
"85503","Summoner's Stone: Illidari Fearbringer","22954","Summoner's Stone"
"85511","Summoner's Stone: Priestess of Dementia","22957","Summoner's Stone"
"85564","Summoner's Stone: Priestess of Delight","22962","Summoner's Stone"
"85579","Summoner's Stone: Illidari Heartseeker","23339","Summoner's Stone"
"85586","Summoner's Stone: Braxxus","23353","Summoner's Stone"
"85637","Summoner's Stone: Zarcsin","23355","Summoner's Stone"
"85715","Summoner's Stone: Moragg","29316","Summoner's Stone"
"87690","Blood Soaked Vellum: Bloodmage Thalnos","4543","Blood Soaked Vellum"
"87698","Blood Soaked Vellum: Zolo","5712","Blood Soaked Vellum"
"87699","Blood Soaked Vellum: Gasher","5713","Blood Soaked Vellum"
"87700","Blood Soaked Vellum: Loro","5714","Blood Soaked Vellum"
"87711","Blood Soaked Vellum: Hukku","5715","Blood Soaked Vellum"
"87717","Blood Soaked Vellum: Zul'Lor","5716","Blood Soaked Vellum"
"87718","Blood Soaked Vellum: Mijan","5717","Blood Soaked Vellum"
"87858","Blood Soaked Vellum: Tuten'kash","7355","Blood Soaked Vellum"
"87859","Blood Soaked Vellum: Mordresh Fire Eye","7357","Blood Soaked Vellum"
"88309","Blood Soaked Vellum: Glutton","8567","Blood Soaked Vellum"
"88310","Blood Soaked Vellum: Anub'shiah","9031","Blood Soaked Vellum"
"88319","Blood Soaked Vellum: Skul","10393","Blood Soaked Vellum"
"88333","Blood Soaked Vellum: Vectus","10432","Blood Soaked Vellum"
"88334","Blood Soaked Vellum: Magistrate Barthilas","10435","Blood Soaked Vellum"
"88363","Blood Soaked Vellum: Baroness Anastari","10436","Blood Soaked Vellum"
"88364","Blood Soaked Vellum: Nerub'enkan","10437","Blood Soaked Vellum"
"88365","Blood Soaked Vellum: Ramstein the Gorger","10439","Blood Soaked Vellum"
"88560","Blood Soaked Vellum: Kirtonos the Herald","10506","Blood Soaked Vellum"
"88561","Blood Soaked Vellum: The Ravenian","10507","Blood Soaked Vellum"
"88562","Blood Soaked Vellum: The Unforgiven","10516","Blood Soaked Vellum"
"88671","Blood Soaked Vellum: Timmy the Cruel","10808","Blood Soaked Vellum"
"88672","Blood Soaked Vellum: Stonespine","10809","Blood Soaked Vellum"
"88677","Blood Soaked Vellum: Lorekeeper Polkelt","10901","Blood Soaked Vellum"
"88713","Blood Soaked Vellum: Black Guard Swordsmith","11121","Blood Soaked Vellum"
"88757","Blood Soaked Vellum: Rattlegore","11622","Blood Soaked Vellum"
"88860","Blood Soaked Vellum: Lady Falther'ess","40552","Blood Soaked Vellum"
"89210","Blood Soaked Vellum: Wrathbone Flayer","22953","Blood Soaked Vellum"
"89637","Blood Soaked Vellum: Meathook","301421","Blood Soaked Vellum"
"89840","Blood Soaked Vellum: Trollgore","26630","Blood Soaked Vellum"
"101075","Blood Soaked Vellum: Anub'arak","29120","Blood Soaked Vellum"
"101144","Blood Soaked Vellum: Ick","36476","Blood Soaked Vellum"
"101412","Beastmaster's Whistle: Hamlet","79038","Beastmaster's Whistle"
"101414","Beastmaster's Whistle: Peggi","79040","Beastmaster's Whistle"
"101415","Beastmaster's Whistle: Terrorpene","79041","Beastmaster's Whistle"
"101416","Beastmaster's Whistle: Purple Fire Spider","79042","Beastmaster's Whistle"
"101417","Beastmaster's Whistle: Spectral Spiked Crab","79043","Beastmaster's Whistle"
"101418","Beastmaster's Whistle: Spectral Gryphon","79044","Beastmaster's Whistle"
"101419","Beastmaster's Whistle: Spectral Wyvern","79045","Beastmaster's Whistle"
"101421","Beastmaster's Whistle: Green Shale Spider","79047","Beastmaster's Whistle"
"101422","Beastmaster's Whistle: Orange Shale Spider","79048","Beastmaster's Whistle"
"101423","Beastmaster's Whistle: Purple Shale Spider","79049","Beastmaster's Whistle"
"101426","Beastmaster's Whistle: Zebra Lion Seal","79052","Beastmaster's Whistle"
"113671","Beastmaster's Whistle: Solar Tracker","292302","Beastmaster's Whistle"
"113672","Beastmaster's Whistle: Lunar Tracker","292303","Beastmaster's Whistle"
"121824","Beastmaster's Whistle: Twilight Fox","50109","Beastmaster's Whistle"
"121825","Beastmaster's Whistle: Aurora Fox","50110","Beastmaster's Whistle"
"121826","Beastmaster's Whistle: Midnight Fox","50111","Beastmaster's Whistle"
"123162","Elemental Lodestone: Cascade","590007","Elemental Lodestone"
"123163","Elemental Lodestone: Borealis","590024","Elemental Lodestone"
"184998","Beastmaster's Whistle: Gargantuan Grrloc","26013","Beastmaster's Whistle"
"191686","Beastmaster's Whistle: Clarabelle","103888","Beastmaster's Whistle"
"195593","Beastmaster's Whistle: Fel Beast","50512","Beastmaster's Whistle"
"199336","Beastmaster's Whistle: Kerchak","11000214","Beastmaster's Whistle"
"199337","Beastmaster's Whistle: Buzzbee","11000215","Beastmaster's Whistle"
"199338","Beastmaster's Whistle: Babee","11000216","Beastmaster's Whistle"
"199339","Beastmaster's Whistle: Barnabee","11000217","Beastmaster's Whistle"
"234628","Beastmaster's Whistle: Arcane Bound Core Hound","50517","Beastmaster's Whistle"
"257058","Elemental Lodestone: Felflame Guardian","218937","Elemental Lodestone"
"257060","Elemental Lodestone: Goldenflare Guardian","218939","Elemental Lodestone"
"257062","Elemental Lodestone: Primal Earth Guardian","218941","Elemental Lodestone"
"257063","Elemental Lodestone: Ancient Earth Guardian","218942","Elemental Lodestone"
"257064","Elemental Lodestone: Primordial Earth Guardian","218943","Elemental Lodestone"
"257065","Elemental Lodestone: Eternal Earth Guardian","218944","Elemental Lodestone"
"257066","Elemental Lodestone: Sacred Earth Guardian","218945","Elemental Lodestone"
"257067","Elemental Lodestone: Sovereign Earth Guardian","218946","Elemental Lodestone"
"257074","Elemental Lodestone: Oceancrest Guardian","218953","Elemental Lodestone"
"257076","Elemental Lodestone: Magmasurge Guardian","218955","Elemental Lodestone"
"257078","Elemental Lodestone: Sulphurcrest Guardian","218957","Elemental Lodestone"
"347302","Beastmaster's Whistle: Alvajar War Wolf","347302","Beastmaster's Whistle"
"347303","Blood Soaked Vellum: Risen Alvajar","347303","Blood Soaked Vellum"
"348634","Beastmaster's Whistle: Ginger Primal Dog","392240","Beastmaster's Whistle"
"348636","Beastmaster's Whistle: Dandelion Primal Dog","392242","Beastmaster's Whistle"
"348637","Beastmaster's Whistle: Tawny Primal Dog","392243","Beastmaster's Whistle"
"392169","Summoner's Stone: Shadow of Xavius","79058","Summoner's Stone"
"400070","Blood Soaked Vellum: Skeletal Sharpshooter","300156","Blood Soaked Vellum"
"400072","Blood Soaked Vellum: Dreadshriek Banshee","300157","Blood Soaked Vellum"
"400076","Blood Soaked Vellum: Shambling Horror","476019","Blood Soaked Vellum"
"400077","Blood Soaked Vellum: Plagued Zombie","476020","Blood Soaked Vellum"
"400078","Summoner's Stone: Doom Warden","476022","Summoner's Stone"
"400079","Summoner's Stone: Infernal","476023","Summoner's Stone"
"400080","Summoner's Stone: Infernal Warden","476024","Summoner's Stone"
"480382","Beastmaster's Whistle: Captain Claws","417217","Beastmaster's Whistle"
"532579","Elemental Lodestone: Bound Water Elemental","98484","Elemental Lodestone"
"541299","Beastmaster's Whistle: Core Hound","55963","Beastmaster's Whistle"
"541300","Beastmaster's Whistle: Void Borne Core Hound","50959","Beastmaster's Whistle"
"600388","Elemental Lodestone: Mana Guardian","218931","Elemental Lodestone"
"600392","Elemental Lodestone: Viscous Fallout","7079","Elemental Lodestone"
"600408","Elemental Lodestone: Lord Roccor","9025","Elemental Lodestone"
"600425","Elemental Lodestone: Garr","12057","Elemental Lodestone"
"600436","Elemental Lodestone: Hydrospawn","13280","Elemental Lodestone"
"600437","Elemental Lodestone: Noxxion","13282","Elemental Lodestone"
"600878","Elemental Lodestone: Hydross the Unstable","21216","Elemental Lodestone"
"600894","Elemental Lodestone: Tainted Elemental","22009","Elemental Lodestone"
"600908","Elemental Lodestone: Aqueous Lord","22878","Elemental Lodestone"
"600921","Elemental Lodestone: Vexallus","24744","Elemental Lodestone"
"600967","Elemental Lodestone: Flame Guardian","218934","Elemental Lodestone"
"600968","Elemental Lodestone: Earthen Guardian","218929","Elemental Lodestone"
"601016","Summoner's Stone: Sister Subversia","80493","Summoner's Stone"
"601062","Elemental Lodestone: Verdan the Everliving","5775","Elemental Lodestone"
"601091","Elemental Lodestone: Serpentshrine Lurker","21863","Elemental Lodestone"
"601200","Elemental Lodestone: Razorlash","12258","Elemental Lodestone"
"601213","Elemental Lodestone: Laj","17980","Elemental Lodestone"
"601679","Elemental Lodestone: Ancient Stone Keeper","7206","Elemental Lodestone"
"601685","Elemental Lodestone: Panzor the Invincible","8923","Elemental Lodestone"
"601688","Elemental Lodestone: Phalanx","9502","Elemental Lodestone"
"603976","Elemental Lodestone: Silver Golem","76","Elemental Lodestone"
"612859","Summoner's Stone: Brutallus","449183","Summoner's Stone"
"844513","Beastmaster's Whistle: Amber Shardhide","222999","Beastmaster's Whistle"
"844514","Beastmaster's Whistle: Darkmaul Shardhide","217615","Beastmaster's Whistle"
"844515","Beastmaster's Whistle: Beryl Shardhide","222300","Beastmaster's Whistle"
"844516","Beastmaster's Whistle: Cerulean Shardhide","222302","Beastmaster's Whistle"
"844517","Beastmaster's Whistle: Crimson Shardhide","222301","Beastmaster's Whistle"
"1001685","Beastmaster's Whistle: Tchaikovsky","1000002","Beastmaster's Whistle"
"1001686","Beastmaster's Whistle: Chubby","1000003","Beastmaster's Whistle"
"1001687","Beastmaster's Whistle: Mo","1000004","Beastmaster's Whistle"
"1001688","Beastmaster's Whistle: Beethoven","1000001","Beastmaster's Whistle"
"1178958","Blood Soaked Vellum: Beckoned Wraith","79060","Blood Soaked Vellum"
"1178959","Blood Soaked Vellum: Patchwork Ghoul","79061","Blood Soaked Vellum"
"1178962","Blood Soaked Vellum: Maw Zombie","79062","Blood Soaked Vellum"
"1179001","Summoner's Stone: Felborne Overfiend","79063","Summoner's Stone"
"1179002","Summoner's Stone: Iceflame Overfiend","79064","Summoner's Stone"
"1179003","Summoner's Stone: Shadowflame Terrorwalker","79065","Summoner's Stone"
"1179004","Summoner's Stone: Baleroc","79066","Summoner's Stone"
"1179005","Blood Soaked Vellum: King Dazar","79067","Blood Soaked Vellum"
"1179006","Blood Soaked Vellum: Abomination Lord","79068","Blood Soaked Vellum"
