"ItemId","ItemName","CreatureId","Description","Category","URL","FamilyId","FamilyName","Notes"
"138255","Summoner's Stone: Prince Malchezaar","15690","Has a chance to drop from Prince Malchezaa within Karazhan","Summoner's Stone","https://db.ascension.gg/?item=138255","","",""
"138259","Summoner's Stone: Demos, Overseer of Hate","18535","Has a chance to drop from Demos, Overseer of Hate within Forge Camp: Hate","Summoner's Stone","https://db.ascension.gg/?item=138259","","",""
"138288","Summoner's Stone: Arazzius the Cruel","19191","Has a chance to drop from Arazzius the Cruel within Pools of Aggonar","Summoner's Stone","https://db.ascension.gg/?item=138288","","",""
"138304","Summoner's Stone: Baelmon the Hound-Master","19747","Has a chance to drop from Baelmon the Hound-Master within Death's Door","Summoner's Stone","https://db.ascension.gg/?item=138304","","",""
"138443","Summoner's Stone: Levixus","19847","Has a chance to drop from Levixus within Auchindoun","Summoner's Stone","https://db.ascension.gg/?item=138443","","",""
"138465","Summoner's Stone: Socrethar","20132","Has a chance to drop from Socrethar within Socrethar's Seat","Summoner's Stone","https://db.ascension.gg/?item=138465","","",""
"138890","Summoner's Stone: Eredar Soul-Eater","20879","Has a chance to drop from Eredar Soul-Eater within The Arcatraz","Summoner's Stone","https://db.ascension.gg/?item=138890","","",""
"138984","Summoner's Stone: Eredar Deathbringer","20880","Has a chance to drop from Eredar Deathbringer within The Arcatraz","Summoner's Stone","https://db.ascension.gg/?item=138984","","",""
"139053","Summoner's Stone: Solus the Eternal","20888","Has a chance to drop from Solus the Eterna within Karazhan","Summoner's Stone","https://db.ascension.gg/?item=139053","","",""
"139354","Summoner's Stone: Warbringer Razuun","21287","Has a chance to drop from Warbringer Razuun within The Deathforge","Summoner's Stone","https://db.ascension.gg/?item=139354","","",""
"139359","Summoner's Stone: Deathbringer Jovaan","21633","Has a chance to drop from Deathbringer Jovaan within Karazhan","Summoner's Stone","https://db.ascension.gg/?item=139359","","",""
"139429","Summoner's Stone: Reth'hedron the Subduer","22357","Has a chance to drop from Reth'hedron the Subduer within The Twilight Ridge","Summoner's Stone","https://db.ascension.gg/?item=139429","","",""
"139454","Summoner's Stone: Illidari Lord Balthas","23427","Has a chance to drop from Illidari Lord Balthas within Dragonmaw Base Camp","Summoner's Stone","https://db.ascension.gg/?item=139454","","",""
"139517","Summoner's Stone: Eredar Sorcerer","25033","Has a chance to drop from Eredar Sorcerer within The Dead Scar","Summoner's Stone","https://db.ascension.gg/?item=139517","","",""
"139581","Summoner's Stone: Apolyon (Hand of the Deceiver)","449185","Has a chance to drop from Kil'jaeden within Sunwell Plateau.","Summoner's Stone","https://db.ascension.gg/?item=139581","","",""
"139796","Summoner's Stone: Agamath (Hand of the Deceiver)","449186","Has a chance to drop from Kil'jaeden within Sunwell Plateau.","Summoner's Stone","https://db.ascension.gg/?item=139796","","",""
"139797","Summoner's Stone: Archonisus (Hand of the Deceiver)","449187","Has a chance to drop from Kil'jaeden within Sunwell Plateau.","Summoner's Stone","https://db.ascension.gg/?item=139797","","",""
"204016","Summoner's Stone: Subdued Mistress","45906","Seasonal Reward. Introduced in Season 9, Chapter 3","Summoner's Stone","https://db.ascension.gg/?item=204016","","",""
"254054","Summoner's Stone: Sulkaia","254315","Has a chance to drop from Sulkaia within Kil'sorrow Fortress","Summoner's Stone","https://db.ascension.gg/?item=254054","","",""
"254055","Summoner's Stone: Lady Vaalethri","254316","Has a chance to drop from Lady Vaalethri within Firewing Point","Summoner's Stone","https://db.ascension.gg/?item=254055","","",""
"442009","Elemental Lodestone: Wretched Treemouth","139995","Available from Tiraxis' Ethereal Bazaar","Elemental Lodestone","https://db.ascension.gg/?item=442009","","",""
"442010","Elemental Lodestone: Pallid Treemouth","139996","Available from Tiraxis' Ethereal Bazaar","Elemental Lodestone","https://db.ascension.gg/?item=442010","","",""
"442011","Elemental Lodestone: Sallow Treemouth","139997","Available from the Webstore.","Elemental Lodestone","https://db.ascension.gg/?item=442011","","",""
"442012","Elemental Lodestone: Stricken Treemouth","139998","Available from Tiraxis' Ethereal Bazaar","Elemental Lodestone","https://db.ascension.gg/?item=442012","","",""
"601818","Elemental Lodestone: Petrified Treant","11458","Has a chance to drop from Petrified Treant within Dire Maul","Elemental Lodestone","https://db.ascension.gg/?item=601818","","",""
"601819","Elemental Lodestone: Warpwood Guardian","11461","Has a chance to drop from Warpwood Guardian within Dire Maul","Elemental Lodestone","https://db.ascension.gg/?item=601819","","",""
"601820","Elemental Lodestone: Warpwood Treant","11462","Has a chance to drop from Warpwood Treant within Dire Maul","Elemental Lodestone","https://db.ascension.gg/?item=601820","","",""
"601821","Elemental Lodestone: Warpwood Tangler","11464","Has a chance to drop from Warpwood Tangler within Dire Maul","Elemental Lodestone","https://db.ascension.gg/?item=601821","","",""
"601822","Elemental Lodestone: Warpwood Stomper","11465","Has a chance to drop from Warpwood Stomper within Dire Maul","Elemental Lodestone","https://db.ascension.gg/?item=601822","","",""
"601823","Elemental Lodestone: Deeprot Tangler","13142","Has a chance to drop from Deeprot Tangler within Maraudon","Elemental Lodestone","https://db.ascension.gg/?item=601823","","",""
"601824","Elemental Lodestone: Corrupt Force of Nature","13743","Has a chance to drop from Corrupt Force of Nature within Maraudon","Elemental Lodestone","https://db.ascension.gg/?item=601824","","",""
"601825","Elemental Lodestone: Petrified Guardian","14303","Has a chance to drop from Petrified Guardian within Dire Maul","Elemental Lodestone","https://db.ascension.gg/?item=601825","","",""
"601832","Elemental Lodestone: Treant","36070","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","Elemental Lodestone","https://db.ascension.gg/?item=601832","","",""
"601834","Elemental Lodestone: Cursed Sycamore","83496","Has a chance to drop from Cursed Sycamore within High Wilderness","Elemental Lodestone","https://db.ascension.gg/?item=601834","","",""
"601835","Elemental Lodestone: Wandering Forest Walker","83616","Has a chance to drop from Wandering Forest Walker within Feralas.","Elemental Lodestone","https://db.ascension.gg/?item=601835","","",""
"601836","Elemental Lodestone: Treant","1964","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","Elemental Lodestone","https://db.ascension.gg/?item=601836","","",""
"601837","Elemental Lodestone: Crazed Ancient","3834","Has a chance to drop from Crazed Ancient within Nightsong Woods","Elemental Lodestone","https://db.ascension.gg/?item=601837","","",""
"601838","Elemental Lodestone: Withered Ancient","3919","Has a chance to drop from Withered Ancient within Nightsong Woods","Elemental Lodestone","https://db.ascension.gg/?item=601838","","",""
"601843","Elemental Lodestone: Treant Ally","5806","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","Elemental Lodestone","https://db.ascension.gg/?item=601843","","",""
"601845","Elemental Lodestone: Irontree Wanderer","7138","Has a chance to drop from Irontree Wanderer within Irontree Woods","Elemental Lodestone","https://db.ascension.gg/?item=601845","","",""
"601846","Elemental Lodestone: Irontree Stomper","7139","Has a chance to drop from Irontree Stomper within Irontree Woods","Elemental Lodestone","https://db.ascension.gg/?item=601846","","",""
"601847","Elemental Lodestone: Decaying Treant","7143","Has a chance to drop from Decaying Treant within Felwood","Elemental Lodestone","https://db.ascension.gg/?item=601847","","",""
"601848","Elemental Lodestone: Withered Treant","7144","Has a chance to drop from Withered Treant within Felwood","Elemental Lodestone","https://db.ascension.gg/?item=601848","","",""
"601849","Elemental Lodestone: Treant Protector","7146","Has a chance to drop from Treant Protector within Kalimdor/Eastern Kingdom","Elemental Lodestone","https://db.ascension.gg/?item=601849","","",""
"601851","Elemental Lodestone: Treant Spirit","9601","Has a chance to drop from Treant Spirit within Felwood","Elemental Lodestone","https://db.ascension.gg/?item=601851","","",""
"601853","Elemental Lodestone: Tender","15271","Has a chance to drop from Tender within Sunstrider Isle","Elemental Lodestone","https://db.ascension.gg/?item=601853","","",""
"601854","Elemental Lodestone: Feral Tender","15294","Has a chance to drop from Feral Tender within Sunstrider Isle","Elemental Lodestone","https://db.ascension.gg/?item=601854","","",""
"601855","Elemental Lodestone: Old Whitebark","15409","Has a chance to drop from Old Whitebark within The Scorched Grove","Elemental Lodestone","https://db.ascension.gg/?item=601855","","",""
"601857","Elemental Lodestone: Eversong Green Keeper","15636","Has a chance to drop from Eversong Green Keeper within Eversong Woods.","Elemental Lodestone","https://db.ascension.gg/?item=601857","","",""
"601858","Elemental Lodestone: Withered Green Keeper","15637","Has a chance to drop from Withered Green Keeper within The Scorched Grove","Elemental Lodestone","https://db.ascension.gg/?item=601858","","",""
"601859","Elemental Lodestone: Corrupted Treant","17352","Has a chance to drop from Corrupted Treant within Middenvale","Elemental Lodestone","https://db.ascension.gg/?item=601859","","",""
"601862","Elemental Lodestone: Outraged Raven's Wood Sapling","21040","Has a chance to drop from Outraged Raven's Wood Sapling within Ruuan Weald","Elemental Lodestone","https://db.ascension.gg/?item=601862","","",""
"601866","Elemental Lodestone: Infested Root-Walker","22095","Has a chance to drop from Infested Root-Walker within The Bone Wastes","Elemental Lodestone","https://db.ascension.gg/?item=601866","","",""
"612860","Summoner's Stone: Sacro'lythess","449184","Has a chance to drop from Sacro'lythess within Sunwell Plateau.","Summoner's Stone","https://db.ascension.gg/?item=612860","","",""
"1777421","Elemental Lodestone: Deeprot Stomper","13141","Has a chance to drop from Deeprot Stomper within Maraudon","Elemental Lodestone","https://db.ascension.gg/?item=1777421","","",""
"1777422","Elemental Lodestone: Deeprot Tangler","13142","Has a chance to drop from Deeprot Tangler within Maraudon.","Elemental Lodestone","https://db.ascension.gg/?item=1777422","","",""
