"DbItemId","Name","Description","IsVendor"
"231309","Elemental Lodestone: Playful Azure Droplet","Available from Tiraxis' Ethereal Bazaar","True"
"231311","Elemental Lodestone: Playful Misty Droplet","Available from Tiraxis' Ethereal Bazaar","True"
"231313","Elemental Lodestone: Playful Amber Droplet","Available from Tiraxis' Ethereal Bazaar","True"
"231314","Elemental Lodestone: Playful Ruby Droplet","Available from Tiraxis' Ethereal Bazaar","True"
"231344","Elemental Lodestone: Playful Sha-Touched Droplet","Available from the Webstore","True"
"121824","Beastmaster's Whistle: Twilight Fox","Available from Tiraxis' Ethereal Bazaar","True"
"1178958","Blood Soaked Vellum: Beckoned Wraith","Available from Tiraxis' Ethereal Bazaar","True"
"1178959","Blood Soaked Vellum: Patchwork Ghoul","Available from Tiraxis' Ethereal Bazaar","True"
"1178962","Blood Soaked Vellum: Maw Zombie","Available from the Webstore","True"
"121826","Beastmaster's Whistle: Midnight Fox","Available from Tiraxis' Ethereal Bazaar","True"
"1179001","Summoner's Stone: Felborne Overfiend","Available from the Webstore","True"
"1179002","Summoner's Stone: Iceflame Overfiend","Available from Tiraxis' Ethereal Bazaar or the Webstore","True"
"1179003","Summoner's Stone: Shadowflame Terrorwalker","Available from Tiraxis' Ethereal Bazaar","True"
"1179004","Summoner's Stone: Baleroc","Available from Tiraxis' Ethereal Bazaar","True"
"1179005","Blood Soaked Vellum: King Dazar","Available from the Webstore","True"
"1179006","Blood Soaked Vellum: Abomination Lord","Available from the Webstore","True"
"1179007","Blood Soaked Vellum: Monkey Skeleton Captain","Available from the Webstore","True"
"1179008","Blood Soaked Vellum: Monkey Skeleton Captain (Blue)","Available from Tiraxis' Ethereal Bazaar","True"
"1179009","Blood Soaked Vellum: Monkey Skeleton Captain (Red)","Available from Tiraxis' Ethereal Bazaar","True"
"1179010","Blood Soaked Vellum: Monkey Skeleton Captain (Black)","Available from Tiraxis' Ethereal Bazaar","True"
"1179011","Blood Soaked Vellum: Greater Banshee (Blue)","Available from the Webstore","True"
"1179013","Blood Soaked Vellum: Greater Banshee (Red)","Available from Tiraxis' Ethereal Bazaar","True"
"1179014","Blood Soaked Vellum: Greater Banshee (Yellow)","Available from Tiraxis' Ethereal Bazaar","True"
"1179015","Blood Soaked Vellum: Hopping Ghost (Blue)","Available from Tiraxis' Ethereal Bazaar","True"
"1179016","Blood Soaked Vellum: Hopping Ghost (Green)","Available from Tiraxis' Ethereal Bazaar","True"
"1179017","Blood Soaked Vellum: Hopping Ghost (Purple)","Available from Tiraxis' Ethereal Bazaar","True"
"1179018","Blood Soaked Vellum: Hopping Ghost (White)","Available from the Webstore","True"
"1179019","Blood Soaked Vellum: Maw Shade","Available from the Webstore","True"
"1179030","Blood Soaked Vellum: Maldraxxian Necromancer (Green)","Available from the Webstore","True"
"1179031","Blood Soaked Vellum: Maldraxxian Necromancer (Purple)","Available from Tiraxis' Ethereal Bazaar","True"
"1179036","Blood Soaked Vellum: Maldraxxus Skeleton (Black/Black (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179038","Blood Soaked Vellum: Maldraxxus Skeleton (Black/Grey (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179039","Blood Soaked Vellum: Maldraxxus Skeleton (Brown/Black (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179040","Blood Soaked Vellum: Maldraxxus Skeleton (Brown/Bronze (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179041","Blood Soaked Vellum: Maldraxxus Skeleton (Brown/Grey (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179042","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Black (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179043","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Blue (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179044","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Bronze (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179045","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Copper (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179046","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Green (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179047","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Grey (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179048","Blood Soaked Vellum: Maldraxxus Skeleton (Pale/Black (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179050","Blood Soaked Vellum: Maldraxxus Skeleton (Pale/Bronze (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179051","Blood Soaked Vellum: Maldraxxus Skeleton (Pale/Grey (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179052","Blood Soaked Vellum: Maldraxxus Skeleton (Purple/Black (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179054","Blood Soaked Vellum: Maldraxxus Skeleton (Purple/Green (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179055","Blood Soaked Vellum: Maldraxxus Skeleton (Purple/Grey (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179057","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Black (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179058","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Blue (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179059","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Bronze (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179060","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Copper (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179061","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Green (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179062","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Grey (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179063","Blood Soaked Vellum: Maldraxxus Gladiator (Black/Black)","Available from Tiraxis' Ethereal Bazaar","True"
"1179064","Blood Soaked Vellum: Maldraxxus Gladiator (Black/Bronze)","Available from the Webstore","True"
"1179066","Blood Soaked Vellum: Maldraxxus Gladiator (Bronze/Bronze)","Available from Tiraxis' Ethereal Bazaar","True"
"1179067","Blood Soaked Vellum: Maldraxxus Gladiator (Brown/Bronze)","Available from Tiraxis' Ethereal Bazaar","True"
"1179068","Blood Soaked Vellum: Maldraxxus Gladiator (Brown/Brown)","Available from Tiraxis' Ethereal Bazaar","True"
"1179069","Blood Soaked Vellum: Maldraxxus Gladiator (Green/Bronze)","Available from Tiraxis' Ethereal Bazaar","True"
"1179070","Blood Soaked Vellum: Maldraxxus Gladiator (Green/Green)","Available from Tiraxis' Ethereal Bazaar","True"
"1179071","Blood Soaked Vellum: Maldraxxus Gladiator (Purple/Purple)","Available from Tiraxis' Ethereal Bazaar","True"
"1179073","Blood Soaked Vellum: Aranakk (Brown)","Available from Tiraxis' Ethereal Bazaar","True"
"1179074","Blood Soaked Vellum: Aranakk (Green)","Available from the Webstore","True"
"1179075","Blood Soaked Vellum: Aranakk (Red)","Available from Tiraxis' Ethereal Bazaar","True"
"1179077","Blood Soaked Vellum: Drustvar Beastman (Blue)","Available from Tiraxis' Ethereal Bazaar","True"
"1179078","Blood Soaked Vellum: Drustvar Beastman (Grey)","Available from Tiraxis' Ethereal Bazaar","True"
"1179079","Blood Soaked Vellum: Drustvar Beastman (Red)","Available from the Webstore","True"
"1179080","Blood Soaked Vellum: Drustvar Beastman (Yellow)","Available from Tiraxis' Ethereal Bazaar","True"
"113671","Beastmaster's Whistle: Solar Tracker","Available from Tiraxis' Ethereal Bazaar","True"
"113672","Beastmaster's Whistle: Lunar Tracker","Available from Tiraxis' Ethereal Bazaar","True"
"532578","Beastmaster's Whistle: Doberman MK III","Can be purchased from Millhouse Manastorm","True"
