"GameItemId","Name","CreatureId","Reasons","EvidenceCount","EvidenceFiles","Suggestion","Description"
"79248","Beastmaster's Whistle: Felhound","79009","midRange","0","","review",
"79258","Beastmaster's Whistle: Armored Soulhound","79011","midRange","0","","review",
"79262","Beastmaster's Whistle: Skreeg","79013","midRange","0","","review",
"79429","Beastmaster's Whistle: Elder Crag Boar","98768","highRange,987prefix","0","","likely_non_drop_set_0","Has a chance to drop from Large Crag Boar within Dun Morogh"
"79509","Beastmaster's Whistle: Moonstalker","4002043","extreme,400prefix","0","","exempt_vendor_candidate","Has a chance to drop from Nightsaber Stalker within Teldrassil"
"79738","Beastmaster's Whistle: Aku'mai Fisher","4004823","extreme,400prefix","0","","exempt_vendor_candidate","Has a chance to drop from Barbed Crustacean within Blackfathom Deeps"
"79741","Beastmaster's Whistle: Deadmire","98765","highRange,987prefix","0","","likely_non_drop_set_0","Has a chance to drop from Aku'mai Snapjaw within Blackfathom Deeps"
"80089","Beastmaster's Whistle: Mist Howler","98772","highRange,987prefix","0","","likely_non_drop_set_0","Has a chance to drop from The Beast within Blackrock Spire"
"80300","Beastmaster's Whistle: Plagued Swine","98773","highRange,987prefix","0","","likely_non_drop_set_0","Has a chance to drop from Elder Springpaw within Eversong Woods"
"80382","Beastmaster's Whistle: Tcha'kaz","4017217","extreme","0","","exempt_vendor_candidate","Has a chance to drop from Barbed Crawler within The Veiled Sea"
"82775","Summoner's Stone: Prince Xavalis","61883","midRange","0","","review",
"87736","Blood Soaked Vellum: Zul'Farrak Zombie","91356","highRange","0","","review","Has a chance to drop from Zul'Farrak Dead Hero within Zul'Gurub"
"181261","Blood Soaked Vellum: Stitched Horror","129283","highRange","0","","review",
"88860","Blood Soaked Vellum: Withered Mistress","40552","midRange","0","","review","Has a chance to drop from Lady Falther'ess within Razorfen Downs"
"89211","Blood Soaked Vellum: Risen Husk","300078","highRange","0","","review","Has a chance to drop from Risen Spirit within Witch Hill"
"89362","Blood Soaked Vellum: En'kilah Crypt Fiend","66150","midRange","0","","review",
"89637","Blood Soaked Vellum: Mindless Servant","301421","highRange","0","","review",
"89854","Blood Soaked Vellum: Smoldering Skeleton","300150","highRange","0","","review",
