"GameItemId","FullName","BaseName","CreatureId","Reasons","EvidenceCount","EvidenceFiles","RegionFound","Status"
"79509","Beastmaster's Whistle: Moonstalker","Moonstalker","4002043","extreme,400prefix","0","","","pending"
"79603","Beastmaster's Whistle: Venomtail Scorpid","Venomtail Scorpid","4003126","extreme,400prefix","0","","","pending"
"79738","Beastmaster's Whistle: Aku'mai Fisher","Aku'mai Fisher","4004823","extreme,400prefix","0","","","pending"
"80298","Beastmaster's Whistle: Springpaw Stalker","Springpaw Stalker","4015650","extreme","0","","","pending"
"80340","Beastmaster's Whistle: Vampiric Mistbat","Vampiric Mistbat","4016353","extreme","0","","","pending"
"80382","Beastmaster's Whistle: Tcha'kaz","Tcha'kaz","4017217","extreme","0","","","pending"
"123162","Elemental Lodestone: Borealis","Borealis","590007","extreme","0","","","pending"
"191541","Beastmaster's Whistle: Clarabelle","Clarabelle","915323","extreme","0","","","pending"
"1001685","Beastmaster's Whistle: Beethoven","Beethoven","1000002","extreme","0","","","pending"
"1181572","Draconic Warhorn: Bronze Whelp","Bronze Whelp","1100365","extreme","0","","","pending"
"1500589","Beastmaster's Whistle: Arktos","Arktos","500589","extreme","0","","","pending"
"1777377","Elemental Lodestone: Living Cyclone","Living Cyclone","599829","extreme","0","","","pending"
"1777416","Elemental Lodestone: Desert Rumbler","Desert Rumbler","599854","extreme","0","","","pending"
"8200183","Beastmaster's Whistle: Cutlass","Cutlass","11000196","extreme","0","","","pending"
"8200185","Beastmaster's Whistle: Jungle King","Jungle King","11000197","extreme","0","","","pending"
"199337","Beastmaster's Whistle: Babee","Babee","11000215","extreme","0","","","pending"
"199339","Beastmaster's Whistle: Chubby","Chubby","11000217","extreme","0","","","pending"
