"ItemId","CreatureId","ItemName","NPCName"
"80096","11359","Beastmaster's Whistle: Soulflayer","Soulflayer"
"80098","11361","Beastmaster's Whistle: Zulian Tiger","Zulian Tiger"
"80099","11365","Beastmaster's Whistle: Zulian Panther","Zulian Panther"
"80106","11673","Beastmaster's Whistle: Ancient Core Hound","Ancient Core Hound"
"80353","17144","Beastmaster's Whistle: Goretooth","Goretooth"
"480382","417217","Beastmaster's Whistle: Captain Claws","Captain Claws"
"601009","37703","Elemental Lodestone: Surging Water Elemental","Surging Water Elemental"
"601067","6932","Elemental Lodestone: Swamp Spirit","Swamp Spirit"
"601677","6561","Elemental Lodestone: Stone Warden","Stone Warden"
"603976","76","Elemental Lodestone: Silver Golem","Silver Golem"
"1180288","9417","Draconic Warhorn: Sleeping Dragon","Sleeping Dragon"
"1180317","148069","Draconic Warhorn: Chromatic Whelp","Chromatic Whelp"
"1180320","148070","Draconic Warhorn: Chromatic Dragonspawn","Chromatic Dragonspawn"
"1180510","21497","Draconic Warhorn: Blackscale","Blackscale"
"1180511","148115","Draconic Warhorn: Blackscale","Blackscale"
"1180526","21818","Draconic Warhorn: Infinite Whelp","Infinite Whelp"
"1180599","23789","Draconic Warhorn: Smolderwing","Smolderwing"
"1180833","32180","Draconic Warhorn: Tempus Wyrm","Tempus Wyrm"
