"ItemId","CreatureId","NPCName","Zone","Source"
"80096","11359","Soulflayer","Zul'Gurub","Wowhead (JS link)"
"80098","11361","Zulian Tiger","Zul'Gurub","Wowhead (JS link)"
"80099","11365","Zulian Panther","Zul'Gurub","Wowhead (JS link)"
"80106","11673","Ancient Core Hound","Molten Core","Wowhead (JS link)"
"80353","17144","Goretooth","Nagrand","Wowhead (JS link)"
"480382","417217","Captain Claws","NOT FOUND","Not Found"
"601009","37703","Surging Water Elemental","NOT FOUND","Not Found"
"601067","6932","Swamp Spirit","Swamp of Sorrows","Wowhead (JS link)"
"601677","6561","Stone Warden","NOT FOUND","Not Found"
"603976","76","Silver Golem","NOT FOUND","Not Found"
"1180288","9417","Sleeping Dragon","NOT FOUND","Not Found"
"1180317","148069","Chromatic Whelp","NOT FOUND","Not Found"
"1180320","148070","Chromatic Dragonspawn","NOT FOUND","Not Found"
"1180510","21497","Blackscale","Blade's Edge Mountains","Wowhead (JS link)"
"1180511","148115","Blackscale","NOT FOUND","Not Found"
"1180526","21818","Infinite Whelp","The Black Morass","Wowhead (JS link)"
"1180599","23789","Smolderwing","Dustwallow Marsh","Wowhead (JS link)"
"1180833","32180","Tempus Wyrm","Dragonblight","Wowhead (JS link)"
