"ItemId","CreatureId","Name","Validated","DropsFrom","Region"
"80088","10375","Beastmaster's Whistle: Spire Spiderling","True","Spire Spiderling",
"80096","11359","Beastmaster's Whistle: Soulflayer","False",,
"80098","11361","Beastmaster's Whistle: Zulian Tiger","False",,
"80099","11365","Beastmaster's Whistle: Zulian Panther","False",,
"80106","11673","Beastmaster's Whistle: Ancient Core Hound","False",,
"80353","17144","Beastmaster's Whistle: Goretooth","False",,
"82368","3898","Summoner's Stone: Aligar the Tormentor","True","Aligar the Tormentor",
"82370","3900","Summoner's Stone: Caedakar the Vicious","True","Caedakar the Vicious",
"82734","7664","Summoner's Stone: Razelikh the Defiler","True","Razelikh the Defiler",
"82777","10373","Summoner's Stone: Xabraxxis","True","Xabraxxis",
"82780","10813","Summoner's Stone: Balnazzar","True","Balnazzar",
"82875","11876","Summoner's Stone: Demon Spirit","True","Demon Spirit",
"82983","14502","Summoner's Stone: Xorothian Dreadsteed","True","Xorothian Dreadsteed",
"84106","19493","Summoner's Stone: Ekkorash the Inquisitor","True","Ekkorash the Inquisitor",
"84301","19963","Summoner's Stone: Doomcryer","True","Doomcryer",
"84496","20789","Summoner's Stone: Wrathbringer Laz-tarash","False",,
"85209","22281","Summoner's Stone: Galvanoth","True","Galvanoth",
"85246","22825","Summoner's Stone: Matron Li-sahar","False",,
"85247","22827","Summoner's Stone: Gorgolon the All-seeing","False",,
"85257","22828","Summoner's Stone: Trelopades","True","Trelopades",
"85586","23353","Summoner's Stone: Braxxus","True","Braxxus",
"85637","23355","Summoner's Stone: Zarcsin","True","Zarcsin",
"85723","314","Blood Soaked Vellum: Eliza","True","Eliza",
"480382","417217","Beastmaster's Whistle: Captain Claws","False",,
"600867","19514","Elemental Lodestone: Al'ar","False",,
"601009","37703","Elemental Lodestone: Surging Water Elemental","False",,
"601067","6932","Elemental Lodestone: Swamp Spirit","False",,
"601102","97808","Elemental Lodestone: Plague Shambler","True","Plague Shambler",
"601664","97825","Elemental Lodestone: Bloodpetal Thirster","True","Bloodpetal Thirster",
"601677","6561","Elemental Lodestone: Stone Warden","False",,
"603976","76","Elemental Lodestone: Silver Golem","False",,
"1180288","9417","Draconic Warhorn: Sleeping Dragon","False",,
"1180317","148069","Draconic Warhorn: Chromatic Whelp","False",,
"1180320","148070","Draconic Warhorn: Chromatic Dragonspawn","False",,
"1180510","21497","Draconic Warhorn: Blackscale","False",,
"1180511","148115","Draconic Warhorn: Blackscale","False",,
"1180526","21818","Draconic Warhorn: Infinite Whelp","False",,
"1180599","23789","Draconic Warhorn: Smolderwing","False",,
"1180833","32180","Draconic Warhorn: Tempus Wyrm","False",,
