"ItemId","Name","CreatureId","Description","Issues"
"79410","Beastmaster's Whistle: Highland Lashtail","1016","Has a chance to drop from Highland Raptor within Direforge Hill","NPCNameMismatch"
"79415","Beastmaster's Whistle: Mottled Screecher","1021","Has a chance to drop from Mottled Raptor within Black Channel Marsh","NPCNameMismatch"
"79417","Beastmaster's Whistle: Mottled Razormaw","1023","Has a chance to drop from Mottled Scytheclaw within Whelgar's Excavation Site","NPCNameMismatch"
"79498","Beastmaster's Whistle: Strigid Screecher","4001996","Has a chance to drop from Strigid Screecher within Teldrassil","HighCreatureId(4001996)"
"79500","Beastmaster's Whistle: Webwood Lurker","4001998","Has a chance to drop from Webwood Lurker within Teldrassil","HighCreatureId(4001998)"
"79509","Beastmaster's Whistle: Nightsaber Stalker","4002043","Has a chance to drop from Nightsaber Stalker within Teldrassil","HighCreatureId(4002043)"
"79579","Beastmaster's Whistle: Adult Plainstrider","4002956","Has a chance to drop from Adult Plainstrider within The Golden Plains","HighCreatureId(4002956)"
"79587","Beastmaster's Whistle: Swoop","4002970","Has a chance to drop from Swoop within The Golden Plains","HighCreatureId(4002970)"
"79603","Beastmaster's Whistle: Armored Scorpid","4003126","Has a chance to drop from Armored Scorpid within Durotar","HighCreatureId(4003126)"
"79738","Beastmaster's Whistle: Barbed Crustacean","4004823","Has a chance to drop from Barbed Crustacean within Blackfathom Deeps","HighCreatureId(4004823)"
"79882","Beastmaster's Whistle: Bonepicker","5983","Has a chance to drop from Black Slayer within Serpent's Coil","NPCNameMismatch"
"80298","Beastmaster's Whistle: Crazed Dragonhawk","4015650","Has a chance to drop from Crazed Dragonhawk within Eversong Woods","HighCreatureId(4015650)"
"80340","Beastmaster's Whistle: Mistbat","4016353","Has a chance to drop from Mistbat within Ghostlands","HighCreatureId(4016353)"
"80382","Beastmaster's Whistle: Barbed Crawler","4017217","Has a chance to drop from Barbed Crawler within The Veiled Sea","HighCreatureId(4017217)"
"80673","Beastmaster's Whistle: Amani Bear","23584","Has a chance to drop from Amani War Bear within Zul'Aman","NPCNameMismatch"
"80819","Beastmaster's Whistle: Bloodthirsty Worg","4024475","Has a chance to drop from Bloodthirsty Worg within Wyrmskull Village","HighCreatureId(4024475)"
"81228","Beastmaster's Whistle: Drakkari Scytheclaw","4026628","Has a chance to drop from Drakkari Scytheclaw within Raptor Pens","HighCreatureId(4026628)"
"81278","Beastmaster's Whistle: Drakkari Gutripper","4026641","Has a chance to drop from Drakkari Gutripper within Raptor Pens","HighCreatureId(4026641)"
"81392","Beastmaster's Whistle: King Dred","4027483","Has a chance to drop from King Dred within Raptor Pens","HighCreatureId(4027483)"
"84104","Summoner's Stone: Dreadcaller","19434","Has a chance to drop from Alzzin the Wildshaper within Dire Maul","NPCNameMismatch"
"84108","Summoner's Stone: Nethervine Inciter","19511","Has a chance to drop from Scarlet Paladin within Hearthglen","NPCNameMismatch"
"84116","Summoner's Stone: Wrathwalker","19740","Has a chance to drop from Sunseeker Botanist within The Botanica","NPCNameMismatch"
"84156","Summoner's Stone: Dreadwarden","19744","Has a chance to drop from Redridge Mystic within Redridge Canyons","NPCNameMismatch"
"84175","Summoner's Stone: Deathforge Tinkerer","19754","Has a chance to drop from Rothos within Seradane","NPCNameMismatch"
"84268","Summoner's Stone: Mo'arg Weaponsmith","19755","Has a chance to drop from Singe within Stonewatch Keep","NPCNameMismatch"
"84269","Summoner's Stone: Deathforge Smith","19756","Has a chance to drop from Red Wyrmkin within Dragonmaw Gates","NPCNameMismatch"
"84270","Summoner's Stone: Newly Crafted Infernal","19759","Has a chance to drop from Scarshield Spellbinder within Blackrock Spire","NPCNameMismatch"
